	Nice Hotel...Great Location	Stayed here for my 40th B-Day. Got Studio King Suite for great rate. Very nice and big room, hardwood floors and balcony. Comfortable bed and great shower pressure. 2 elevators in hotel, one was big and the other was barely enough for 2 people with luggage. Bellman and Front desk staff were great and helpfull. Food, Starbucks, train, Whole Foods, Central Park all within steps of hotel. Overall this is great hotel and plan on staying here again in the future.
Oct 27 2009 	60 Thompson is not a Boutique Hotel !	I was there for 3 nights to celebrate my husband's 50th birthday. After a 7 hour drive we were at the front desk at 2:30 and check-in at 3:00, not a room avalaible.Very cold welcome by the receptionist that we seemed to bother. We had a king size room but don't bother to pay more since all the rooms are the same (very small) and the only difference is the size of the bed. Very noisy hotel where everytime a guest closes a door it makes a terrible noise. You can also hear everyone in the hallway. I'm a member of Small Luxury Hotels (SLH) and I travelled everywhere in boutique hotels. 60 Thompson IS NOT a boutique hotel. For example, even though I wrote to the management few weeks before our arrival telling them about the special occasion, nothing was made to highlight the fact. Is it too much to ask to have a small note in the room ? There is a very nice roof terrace but it's only open from 5:30pm. It would be great to enjoy the quietness of the place, the view, a drink at anytime of the day. If you need to use a computer, you'll have to use the small one on the front desk, standing in the middle of everyone. The only goog things are the friendly welcome from the doormen and the location.I wouldn't pay more than 200$ for this hotel. It was 400$ + 55$ for parking. Ridiculous...
Oct 8 2009 	This botique didn't have the charm I was looking for	Spent one night here in early October. Was disappointed - room was small (though typical of an NYC hotel room), amenities were limited, bed was just OK. Teh worst part, however, was how noisy the hotel was: the bar at reception was cranking music until 3am on a Wednesday night... The toilet flush was like the Hoover Dam unloading... And worst of all, teh bottom of my door wasn't very well sealed off, so hallway noise (and - yuk - secondhand smoke!) intruded all night.I slept from 3am until 6. I figure it was $150 an hour. Not coming back.
Oct 1 2009 	60 Thompson is fantastic	I stayed at 60 Thompson in September 2009. Everything about it was fantastic -- the location, the rooms, the staff, etc. The design of the room is beautiful, and it was a good size, especially for a NYC hotel room. You can't beat the location, since it's in SoHo. You can easily walk to plenty of restaurants, shops, etc. My room overlooked the street, but it wasn't loud at all (at least for me).I'd definitely recommend 60 Thompson!
Sep 12 2009 	Great Hotel and Immpecable service	We stayed during the third week in August and had an amazing time. The hotel is located in the middle of Soho which is perfect for shopping and dining. The rooms were nice sized and very clean. The hotel is getting a little dated in the rooms but it does not detract from the stay. What impressed me most was the service and friendlessness of the entire staff from the front desk, to bellman, cleaning staff, etc. Everyone was helpful and accomondating and made us feel like we were family which in todays travel is not found frequently. We will be back for sure!
Jul 24 2009 	great location	Nice little boutique hotel in the heart of SOHO. Nice bars, great staff and very knowledgable about everything you need from shopping to restaurants. Great area to stay for a romantic weekend away from the tourist frenzy of Midtown. Enjoy!
Jul 20 2009 	Lovely Winter Escape	We stayed at 60 Thompson in Dec 08 for a pre-Christmas escape to New York. Everything about the hotel was fabulous! We flew in early morning and the reception kept track of our room and phoned us as soon as it was available even though is was only 10.30am. The room was well equipped, clean and very comfortable. The concierge really knew their stuff and were always only to happy to help out. The hotel isn't only in a great location but it is surrounded by cafes that serve fantastic coffee, tempting boutiques all with a great village feel. I wouldn't stay anywhere else!
Jul 12 2009 	Pretty good overall	I don't have a good track record of picking hotels in New York and so when this one was recommended to me by a colleague I thought I might as well give it a shot.Overall, I was not disappointed. Arrival impression was not great because at street level is the restaurant; reception is upstairs and I was not offered assistance with my luggage. Furthermore, both receptionists were on the phone when I arrived and so I waited longer than I would like to check in - which after 8 hours travelling is not welcome.Room itself was clean and looked fairly recently updated, bed comfortable, decent bathroom. As with most NYC hotels, pretty small though.I didn't have any noise issues (another common problem in NY).Breakfast quite nice.Wall Street is about a 25min walk away.Certainly worth considering.
Jul 1 2009 	Disappointed	Luxury Hotels website sold us the idea that although the Hotel was away from other bar scenes, this hotel has two very popular cool bars to enjoy. When I checked in I was excited and could not wait to try their roof top and inside bar. On our first night we were very disappointed to learn that both bars were closed for PRIVATE EVENT so we decided to go somewhere else. On our second night we wanted to have a drink in the afternoon before getting ready for dinner and again the bars were closed til 9 pm. Well they lied after having dinner and looking forward to coming back to our hotel to enjoy the facilities, the inside bar was supposed to be closed for a PRIVATE EVENT until 12:30. We waited in the lobby until 1:30 am and they would not allow us in. I found it very insulting to be paying top dollar for a hotel whose premises are closed for other events. One of their employees told us that they frequently rent the bars to a local company that books events for them. In conclusion, the hotel was very nice but if the only available part of the hotel is my room, I rather go somewhere else.
Jun 24 2009 	Great service but the hotel is a little tired.	We used to stay here when the hotel first opened. The staff is friendly and knowledgeable. The rooms were clean, but tired looking. Furniture has stains. Lobby had a strange gas smell. Restaurant was okay.
Jun 16 2009 	Nice hotel in a great location	I had actually stayed at 60 Thompson's sister hotel, 6 Columbus, in January... which proved so gloomy with such bad lighting that you almost needed a white stick to manoeuvre about your room. 60 Thompson is quite different... and a much better experience. I had a light-filled room on the 11th floor, which afforded a really great view over SoHo. The location is really excellent. It's so nice to slip straight out the door into such a vibrant neighbourhood. The staff were excellent. The doormen were extremely attentive and there was one woman on reception, who was particularly professional. The bar is cool and they serve nice cocktails, and the design of the room is very pleasing. On the negative side, the breakfasts are only so-so rather than excellent. The choice is pretty limited and the price a little steep. The other thing I found quite strange was the fact that there was not a desk in my room. I can not be the only traveller, who has work to do while I'm in New York. I mean, it is a city with business travellers... not a spa or a resort. So, I thought it was pretty weird that I had to sit uncomfortably with my computer on my bed. I inquired and was told that there were only desks in the suites. The other big problem I had during my stay was a very poor Internet connection. At times, I actually had to sit on the floor near the door just to get reception! I asked them if guests regularly experienced problems and they said &quot;No&quot;. Given the pluses at 60 Thompson, I'd almost definitely give them the benefit of the doubt and return on my next trip to NYC.
Jun 15 2009 	Accomodating friendly great bars!	Spent the weekend with friends for my birthday. The visit started shaky when I was not able to present the manager with a Comp Voucher that I didn't realized I needed. Staff stayed calm, let me work through what I needed to do. And then in the end did what they needed to do to help me have a great weekend. Loved the friendliness of the staff. Roof top bar - gorgeous, Thom Bar lots of fun and Kittichai amazing! Highly recommend!
Jun 10 2009 	This must be one of the best hotels in NY	After reviewing what seemed like hundreds of hotels for our NY trip, we decided upon 60 Thompson - and we're so glad we did. It must be one of the best in NY and I would definitely recommend it. All the staff couldn't do enough for us - the doormen were always friendly and concierge/reception staff also always helpful and friendly. We tipped the doormen/concierge/housekeeper when they helped us with things (~ $10 each time), but I believe this is the norm for NY, so it didn't seem strange.I could rave on and on about this hotel, but it really is an amazing hotel in a really good area. I agree it is a typical hipster nouveau trendy hotel, and slightly (not &quot;vastly&quot;) over-priced, but I think you get what you pay for and at 60 Thompson, attention to detail and customers was spot on throughout our week long stay, which means more to me than paying less for sub-standard service.The rooftop bar is lovely - the perfect setting for a cocktail or two after a long day shopping, and the restaurant was also very good. I'm not a huge thai food fan, but it really was good.The only niggle I had while I was there is the first room we were given was really noisy - direcly above the bar (which, incidentally is a lovely cozy, comfortable place), but we asked to be moved and no sooner had we asked, we were moved to a higher floor which had a larger, brighter room with a better view. I believe this may have been a superior room, but we weren't charged any more than originally quoted. Oh, a niggle of my husband's is the mosquito bites he received while sitting next to the trees in the bar at the front of the hotel, although this isn't really the hotel's problem.If you are considering staying in this hotel, ignore any negative reviews and go for it - you won't be disappointed.ps - we had no problems with the air con!pps - really good restaurant Antique Garage around the corner on Mercer Street.
May 21 2009 	Great hotel in a fantastic location with staff who make me feel at home.	I stayed there twice on a merry-go-round US trip trip last month and loved every minute of my experience.The rooms were stylish and modern, with all the extras you would want in a hip hotel.Located in the heart of Soho, i couldn't have asked for a better location to hit all of my favorite downtown shops and restaurants.The staff were particularly gracious and welcoming, especially the pretty Avery Bock who's Front of House for the evenings activities; Steven Jacoby, one of the many great doormen; and
May 6 2009 	Vastly Overpriced Hipster Hangout	To be fair, I never actually intended to stay here. I was supposed to be booked into their sister hotel the Gild Hall down in the Financial District and my assistant swears that's what she did and the problem was on the Thomspson central booking site. Oh well,. My plane was late, it was raining, my car service didn't show up and I arrived at the Gild Hall 15 minutes before my scheduled meeting and ws told that my reservation was up here. The taxi took 15 minutes and the credit card payment system didn't work so I walked into 60 Thompson with literally no cash in my pocket and late. The aura is typical hipster nouveau trendy with lots of Euro music going on and and so I pretty much knew I would have a small room. At the desk the man said my room was &quot;ready&quot; but not available because it hadn't been inspected. That was because of the late check-out. I said &quot; Huh&quot; I never heard of a check-out as late as that and in any even I was late and they should give me anothert room. They didn't and kept me there about ten minutes while they finally processed me into what on of the front desk people called a really good roomThis is not a really good room It is a standard modern small room with King bed and small couch and chairs and bureau and flat screen. No desk to work at (but if you are a true hipster, I suppose, desks surplusage). The bathroom is nice and there is a large shower and no tub. The WiFi works for $10/day.As I dropped my bag and flew out the door to my meeting, I noticed it seemed warm in the room and so set the thermostat at 68 F. I returned at 9 pm and found the room hot and called down to the desk. They said they would send somebody up to &quot;fix' the thermostat. Instead, they sent a maintainance guy who was carrying a standing fan! I said, no, what I wanted was for somebody to make the air conditioning work and he opened the windows for the time being and went away. When he returned he told me that they had &quot;turned on&quot; the air-conditioning in the hotel - in fact, it had been turned off for the whole hotel because somebody complainted that it was too cold. Huh???? Finally I got some air conditioning. A later call for a wake-up rang unanswered about 20 times before I quit.This is a perfectly adequate $210 hotel. It takes real chutzpah to ring you up for $345
Apr 21 2009 	Mixed feelings	The good 1. Friendly staff: Most of the people we encountered were polite and helpful. I mean the staff at the front entrance, front desk and the restaurant.2. We like the location. It is in a neighborhood setting. Within walking distance to restaurants, cafes and shops.3. Restaurant: good food and service.The Bad 1. When we checked in, we were shown our room. Everything looked fine. However, when we came back from dinner, the room was FULL of SMOKE. We hurried to the front desk to tell them that someone smoked in our room. They said they will send a supervisor to inspect and they will let us know. Nobody came back to explain what might have caused the smoke:(2. A few friends met with us in the lobby/lunge area. My husband moved 2 chairs closer to us so we could chat with each other. A woman (blond) came over with stoned face to tell us we were not allowed to move the chairs. Upon hearing that, the group of us started discussing maybe we should go somewhere else. As we were walking away, the same woman came over to tell us that we could go and sit in the corner. I told her we have decided to go somewhere else. She got UPSET and said RUDELY:&quot; I wish you had told me before I moved chairs for you!&quot;3. During our first day of stay, we left ï¿½no disturbï¿½ sign on when we went out in the afternoon. When we came back, there was a message under our door. It said they didnï¿½t do the turn down service because of the sign. The second day, we made sure the sign was off the door when we left. When we came back at night?... Still no turn down serviceï¿½Mixed feelingsï¿½
Apr 15 2009 	Friendly service	We recently stayed at 60 Thompson and I must say it was one of the best experiences we have ever had at a hotel. The staffs are good looking but very well trained. From the moment arrived to the hotel we were greeted and welcome and the warm greetings continued through out our stay. We do not remember ever having to open the main door because there was always a doorman there to greet you. The concierge (Chris) is fantastic and knows just about everything about NYC. The desk staffs are ready to greet you once you step of the elevator in the upper lobby. The housekeepers are very polite and always greeted us while awaiting the elevators. We love everything about this hotel. The only negative was the street was being repaved by the city and it was very loud causing us to request a roommove to the other side of the hotel but unfortunately they were fill for the night and could not accommodate us.Many thanks to 60 Thompson staff, you're our new favorite in NYC and we will back soon
Mar 20 2009 	Alotta Moolah	Pros: fantastic location, hip, trendy, clean rooms, good toiletries, friendly at the desk; great chocolate boutique a few doors down. Cons: snooty door guys (stepped right in front of us as we were returning from dinner one night and, with a total attitude, asked my boyfriend &quot;can I help you?&quot; when we told him we were guests of the hotel, he just stepped aside, with no apology; rooms are microscopic (but this is typical for NYC). Overall, no real service for the amount you pay. We like Soho, but will probably try somewhere else when we visit again in May.
Mar 14 2009 	Love the place	Great hotel, friendly staff, amazing rooftop bar, chic lobby bar.Certainly a preference over Mercer.
Feb 1 2009 	Fantastic Service; Trendy But Slightly Worn	I just stayed at this hotel January 2009. The service (hotel staff) was fantastic. The location is perfect. The restaurant is incredible. The room was a little worn out (stains on some of the furniture, kind of dirty pillows on the bed, and beaten up fabric on the couch). But the room (a Deluxe King) was tastefully decorated and large for NYC. I would definitely return.
Jan 28 2009 	Finally a great service	Finally a hotel with a quality serviceI've been recommended to stay at Thompson 60 by friends and I do not regret at all.First, the hotel has a perfect location, second, I was amazed by the quality service (front desk, bellmen and specially concierge).The team is ready to answer fast, efficiently, to customers' needs and the professionalism of all team is incomparable.I worked in the hospitality businessl, and it is obvious that all team followed a training of remarkable quality.I've stayed with friends for five nignts, and rooms are so comfortable with great accomodations specially the bed.Thank you for giving to your customers a big comfort, service and a young efficient team...P.S. beautifull bar and restaurant
Jan 23 2009 	A good choice	My brother and I stayed there for a quick business/family visit trip in November. The hotel is...really nice. I can't think of anything to complain about. The design isn't groundbreaking, but it is still comfortable and well-done. The location is...perfect. Great shopping, eating, drinking are all just steps away. it's also easy to meet up with friends from all over the City.Our room was much larger than I expected (and who ever says that about a NYC hotel?). It's also nice to be in a busy part of town where the hotel doesn't feel like Grand Central. Also, make sure to eat (even just a snack) at the Thai restaurant on the ground floor...Kittichai?...it's great.
Jan 14 2009 	Funky Chic Soho	I stayed at 60 Thompson for one night this Jan. Overall the hotel has the &quot;w&quot; hotel feel but much more upscale and personal. The inviting second floor lobby is decarated well with huge windowns and funky furniture. The check-in process was quick and all of my requests fullfilled.The room itself is a pretty standard NYC size room.. We checked in put were called in our room right away due to a mix up with someone else already checking into that specific room. We were upgraded to a suite that included a HUGE living room, seperate bedroom, 2 seperate bathrooms, each with walk in tiled showers and seperate tub. The suite was really something else. If you can afford it, it has to be one of the best in the city. Even though we were in the suite, I did see the previous &quot;standard&quot; room and it was like stated before: typically sized for NYC and decarated very funky/chic. The beds were very comfortable and showers fantastic.  I would and will definatly be back
Jan 4 2009	Great location average hotel - stay if you get a rate	The hotel has a great location and the staff are friendly and helpful, rooms pretty clean (although we needed to open the windows in December to let some fresh air in as it was pretty stale when we arrived). Then there was a leak from the room above and we had to move to another room. The reception rooms are a bit dingy. Overall, if you can get a good rate, it is worth staying here, but doesn't feel like it is worth the full price.
Dec 11 2008 	So overrated.	I recently stayed at the 60 Thompson for work.The hotel itself is pretty. The main floor with the bar is clean and elegant, not too designy but modern and minimal. Lots of dark wood, very Thai insipired. The staff is very nice and well trained and certainly try to make everything as smooth as possible. However, when you get there they give you an explanation speech on the special hotel amenities. At the end of the day the special amenities are a bar and a restaurant - and that's it. My room - which was supposed to be a superior king at 549.00 - was a closet. It was so small, I can't even image what the standard rooms look like. The room is minimal, pale greens and greys. Nice - but nothing special. If you stay in these kinds of hotels they all kind of look like each other after a while. There was nothing particularly distinguishing. The bathroom is nice and big. Dark marble - but shower only (in case you like to take baths). The shower amenities were the bare minimum - nothing special. Shampoo, conditioner and a bar of soap. No shower cap, toothbrush etc. Turndown service is nice in that they give you a brownie on your pillow. The &quot;gym&quot; - let's call it that - is in the dark, dank basement. It is an even smaller room - say 8 feet by 8 feet, with low ceilings and no windows. 2 treadmills, a bike, and an elliptical machine piled on top of each other. There is no business center and if you need to use a computer - you are forced to stand at a tiny laptop at the check in counter. God forbid you should have people waiting. Or worse, have to wait yourself. I have to say it's the first hotel I've ever been in without a business center.The room service was a little unusual as well. Minimal - but way too minimal. I ordered the grilled chicken breast and literally got a sliced grilled chicken breast on a white plate. No bread, no salad, no decoration, no condiments. I got that they were going for minimal, but looked more like hospital. All food is Thai inspired so even the chicken noodle soup and the grilled chicken breast had a very strong Asian infusion flavor to them. The breakfast &quot;buffet&quot; is really non existant. 5 bagels, 5 croissants and some toast on a plate. The menu looked ok, but i just wanted something simple off the buffet and sadly there wasn't much of a choice. So all in all - nothing bad - but certainly not worth that kind of money, or buzz. I think if you want to stay in this neighborhood I would recommend the SoHo Grand which really has all amenities a proper hotel should have.
Dec 1 2008 	Great Place	Hubby and I just returned from a fabulous long w/e trip into Manhattan and stayed at this lovely hotel! There is not one thing I can negatively say about it! Everything was fabulous from the doormen, front desk, housekeeping, the wonderful bed and bathroom!!!! I did make a mistake and thought I was putting the A/C because we had our curtains opened and the sun made our room extremely HOT! Turns out there is only 1 setting from the Winter and the summer and when I put it on Cool it was actually heat and when we returned to our room hours later is was about 150 degrees! One call to the front desk and a couple of laughs later a maintenance guy came up and got our windows to open wide to cool the place, which happened in minutes! Again, this was MY fault not the hotels! Everyone was extremly nice and the hotel is in a perfect location as my husband and I frequent SoHo and the Village!!! (subway is right around the corner to go up to Midtown also).One more thing...we arrived on Thanksgiving Day and Thompson Street had plenty of parking! We were there for 3 days 2 nights and if we had to garage our car it would have been over $100...just be patient and look around for the right spot and watch your signs for street sweeping, etc! My car was actually good for another 3 days (but sadly we had to go home)!!My photos look exactly like those already posted so I'm not going to bother.
Oct 27 2008	uniformly good service	I have stayed in NYC each of the last 10 years for my annual photographic trip. In recent years i have moved down from midtown and stayed in Soho at the Mercer and Soho Grand. This time i went with my family to 60 Thompson. The hotel is excellently positioned for the immediate area and lower Manhattan yet in a quiet road. It's rooms are bigger than most but whilst I believe service levels in most NYC hotels are better than the uk, 60 Thompson was exceptional. One felt relaxed and at ease. I can also recommend the City Girl Cafe across the road for a great coffee and the Thom bar if you're feeling sociable.The only minor quibble is that the roof terrace was closed for the season which was disappointing as i had planned to take photos, but it's only a minor point.If you want a very comfortable, classy and not overtly trendy base with extremely helpful and friendly staff for exploring the less touristy lower Manhattan then this hotel fits the bill.Simon 49
Sep 24 2008 	EXCELLENT but worn around the edges!!	Excellent location with good shopping and restaurants all within short walking distance. It's easy to get cabs and feels safe. The hotel itself is a bit of a destination for party people, so request a room on a high floor to avoid the noise from the bar and restaurant.. or prepare to party!! we we're moved after a simple call to reception. The rooms are small and a little worn and tired, but have everything, including an expensive mini bar with everything including sex aids!!! The staff are friendly, polite and efficient, which is a real bonus for a trendy boutique hotel in NYC! We would definitely go back.The restaurant is very good.
Sep 18 2008 	Great stay in Soho!	I stayed at The Mercer last year in Soho and wanted to try somewhere else and 60 Thompson didn't disappoint! Substanially cheaper than The Mercer, 60 Thompson is just as convenient and the rooftop bar is a MAJOR plus!! Loved it! The FRESH amenities were so fab that I had to go the Fresh Store and purchase more shampoo to take home to Sydney with me!! And the bedsheets were to die for! I look forward to checking out the other sister hotels as I've stayed in 2 of them now and I have no hesitation in going back there again :)
Aug 29 2008 	Good but perhaps not as good as their prices promise	We stayed at 60 Thompson in April and had a perfect stay there. We were re-bookend into this hotel as the hotel we originally chose had to close their doors for a short time.When we first got there, we immediately liked the lobby and it was nice to get a coffee with pastry there every morning before starting a new day in that great cityNice room, big enough, just redecorated so everything nice and new, perfect bathroom and we slept wonderfully. Extraordinary, to be able to sleep so well in a city that never sleeps. The only noise we heard was our neighbour coming ' home' .Can't rave about the staff, they where average in my opinion, they did their job and nothing more than that.During our stay, there were still some renovations going on, so neither bar nor restaurant was open. We did get the rooms at about a third of the going rate, probably due to the rebooking and of course because not everything was ready. I imagine the bar and restaurant to be really something, but I don't think that ' extra experience' is worth $600 or more.We enjoyed our stay very much but it is definitely out of our range now.
Aug 24 2008 	Friendly 	Thank you 60 Thompson!My GF and I recently stayed at 60 Thompson for a special weekend get away and let me say it was one of the best treats we've given ourselves this year! (and it's already august)The staffs are all very friendly and welcoming and actually listen and pay attention to the guests. We mentioned at arrival that it was a special weekend get away for us and when we got to our room later on, there was a note from the front desk staff with bottle of red wine and fruits (can you say mood setter!)Tiffany was the young lady at the desk who greeted us at arrival, so i believe she had all of her co workers initial the note to us, wishing us an enjoyable weekend. But let me note however, another young lady greeted us at departure and she knew of our weekend get away and extended an invite for next yea r. The concierge desk was very helpful as well (thns Bryan for all your help) and guy at the entrance too. Amazing staffs, great location- We will always be back!
Jul 21 2008 	great location friendly staff	between Broome and Spring street this is a good location to explore the shops of Soho and the eateries of Greenwich village, Little Italy + Chinatown. Rooms have a reasonable size and free wireless access . I've stayed there for two hot and humid days in July, enjoyed the friendly check-in and especially the roof top sun deck and bar.
Jun 27 2008 	Fabulous NYC Hotel in Soho	60 Thompson is a charming boutique hotel located in Soho. The location is ideal for all the shopping and restaurants in Soho. The rooms are clean, spacious (for NYC), and well decorated. The bathrooms are beautiful and bathrobes are provided.There is also a very cool bar and restaurant in this hotel. The hotel staff is very friendly and helpful.I would absolutely recommend this hotel - its one of my NYC faves!
Jun 5 2008 	Huge Room bit noisy though	took me a long time to decide on this place, and it was between here and the gansvoort. The location is great but other aspects meant it was really VERY expensive for what it was.Staff excellent and friendly at all times, especially the bellhops.I chose the delux room and it was large with a very comfortable bed. The bathroom was nice and the loo had a fierce and loud flush. Accoustically you could hear noises from the other rooms as well as the people in the hall.I would recommend it but i am not sure for that money, that I would return. The area is great !
Jun 1 2008	A hip boutique with great food and drinks	I only spent one night at this hotel, but I can certainly say that I left with the wish to return. Great location within walking distance to Chinatown and shopping in Soho. Convenient to 2 subway stations. When I checked in a bit early on Sunday, I got upgraded from a Queen Superior to a King Deluxe on the 3rd floor, room 32. Very spacious room with a couch. The upgrade was nice, but the room smelled like smoke - I found out during checkout that the 3rd floor is all smoking rooms, so request a room on a different floor if this will bother you. The Fresh toiletries in the marble bathroom was a nice touch. They also had Kiki de Montparnasse items in the dresser drawers (lubricants, condoms, etc.) - naughty! There was a disclaimer in the drawer that said that if the item is opened, then you will be charged for it, but when we arrived, one of the Kiki kits was clearly already opened (but not used), so housekeeping did not replace it properly. In the evening we went to the A60 Rooftop bar, which you have to show your key to get into if you're a guest. Otherwise, I believe you have to be a member. There were 2 sides to the rooftop bar, one that had the actual bar and was already full according to the bouncer, and the other which had table service. Nice views of the city. But don't go there hungry, b/c they don't serve food on the rooftop. For casual appetizers, head to the Thom Bar on the lobby floor (2nd floor). The Bar has a masculine feel, like a mix between a library and hunting lodge, with dark wood and modern furniture. There was a dj spinning ambient tunes. The chocolate braised shortribs were to die for! Excellent food and great drinks muddled with fresh fruit, although they took a very long time to arrive, and I downed mine in 2 seconds (not much there). Very friendly reception staff. Great food, good drinks. But I requested ahead of time that a special note be left in our room upon arrival for my friend's birthday, and they did not deliver on this, so the custom touch was missing. Housekeeping also took a while to bring extra sheets.Overall, a memorable experience. I would give 60 Thompson another stay upon my next return to NYC.
May 8 2008 	Great Location; Disappointingly Average Hotel	Stayed two nights in April with my wife, who accompanied me on a business trip. I spent a lot of time in advance of the trip trying to decide where to stay. Knew I wanted to stay in SoHo to be near my sister who lives there. My sister typically refers people to the SoHo Grand, but LOVES the rooftop bar at the 60 Thompson. A client who is in the hotel industry, spends a lot of time in NY, and is otherwise &quot;in the know&quot; recommended either The Mercer or 60 Thompson. At the time I initially checked availability, The Mercer was full and - even it they were not - the rooms were significantly more expensive than 60 Thompson. However, a couple days before I left for the trip, rooms became available at The Mercer and the prices between the two hotels got a bit closer. I stuck with 60 Thompson b/c I didn't want to spend the extra $100 a night. I regret doing so.60 Thompson is in a nice, quiet location still close to all the shopping and restaurants. Rooms are acceptable in size given they are at a boutique hotel in NY, adequately finished and clean -although not very interesting. Check-in was a little strange. We arrived early, so we gave them our cell number and went to shop and grab a late lunch and drinks. While we were out I called to see if we could upgrade our room from a King Superior to a King Deluxe, as I was having reservations about being in their standard sized room. I was told by the reservationist that a King Deluxe was not available, but, as she hung up, she confirmed that we were remaining in our original reservation &quot;which is a King Deluxe.&quot; Before I could clarify whether she meant to say &quot;King Superior,&quot; she hung up. I immediately called back to clarify whether we were remaining in a &quot;King Superior&quot; and whether she was correct when she told me there weren't Deluxe rooms available. This time I was told by someone else that I was being put in the Superior but Deluxe rooms were available and we could upgrade for an additional $50 or so, which I elected to do. Very minor, but I was surprised that there was this confusion given how small the reservation department was. My wife and I also remarked how beat up the lobby was. This is one of the first things you see when you arrive at the hotel. It really sets the stage for what you expect of the rooms, restaurant and bar, although I think the rooms, restaurant and bar are all in significantly better shape than the lobby. You'd think they'd keep things looking nice. Instead, it looked like wall and floor coverings and furniture had not been touched in a few years. Doormen did a nice job getting us transportation and loaning us umbrellas as we headed out in the rain. Service in the bar was acceptable. I left 60 Thompson disappointed. Not b/c it was a bad stay, but b/c I was expecting something just a little nicer, hipper and more special. When I go back I will either save a few bucks and stay at the SoHo Grand or splurge a few bucks and stay at The Mercer in the hopes of getting the experience I was hoping for at 60 Thompson.
May 7 2008 	Nothing special	I've just returned from a weekend at 60 Thompson from my husband and to be honest we were a little disappointed.The roof terrace was closed for refurb opening sometime later in May, not a huge issue but a shame.Firstly, we had originally booked a room that was 1 up from a standard. When we arrived in our room, i was really shocked as to how small it was - you couldn't swing a cat. The room was quite drab with no character whatsover. We stayed in that room for 1 night then upgraded to a bigger room. Much more spacious but again, I don't think it was value for money. This is a 'no frills' hotel as far as I'm concerned. There are many more 'boutique' hotels in NYC that would offer much more.Location is great. We ate in the restaurant. Great food, but i felt they rushed us to be honest.Bit of a hit and miss too with the staff. I called up at 1am for some tampax, the receptionist said she'd get back to me, never did. I just thought a phone call even to say they couldn't help would have been nice. We only stayed in the bar for about 15 minutes. It was really loud and buzzy but can't really comment further than that.Some area's of the hotel are shabby too.Toilets flush is so loud that it sounds like the loo is going to take off!!! All in all, not a hotel to rave on about. I think i'd recommend it for dinner, but not way would i ever stay there again.Hope this helps!
Apr 6 2008 	Good place to stay in New York	The 60 Thompson enjoys a good location, which is relatively quick to reach by taxi from JFK (as compared to Midtown hotels for example). It is not in the middle of SoHo action, which makes it a relatively quiet place. Yet, all the hot shopping / dining / drinking spots of SoHo are within walking distance, as is a subway station.Rooms are rather on the small side (but this is New York, after all), and the views are far from great (especially if you don't have a room facing Thompson Street). There is free wi-fi internet access, which is very convenient. The design of the bathrooms is great, and the bath amenities are good.Service is okay, as is dining. The bar is pleasant.Overall a nice place to stay, with a rather residential feel. I tend to think that prices are a little bit high for the product, but again ... this is New York, so that I would consider that the value for money is okay.Although maybe not my first choice in New York, I would probably stay there again.
Mar 21 2008	Good Location	I really like this Hotel, 2nd visit good location with lots of bars and street cafes around. Good cocktails in the bar in the Hotel and good service. STAY HERE
Mar 13 2008 	Excellent	Everything was wonderful.great location walking distance to all shops and amazing restaurants. beautiful and spacious rooms, everything we asked for was there within minutes.We only had breakfast there which the price was outrageous for coffe, juice and muffin but other than that i would recommend the hotel.Beautiful lobby and lounge downstairs, very good staff.Enjoy your stay.
Jan 16 2008 	Couldn't use the bar !	60 Thompson in NYC is an attractive hotel and the staff are stylish and attentive. However when I stayed there in December one thing amazed me...for three of my four nights in the hotel the bar was closed to residents as it had been hired out for private parties. If you wanted a drink you either had to sit in the lobby or the tiny bar of the restaurant downstairs.&quot;Completing the whole Thompson experience are the beautiful Thom bar and A60&quot;...clearly this was an experience that i did not get. When you are paying the best part of $700 per night you want to be able to drink in the bar. To be told that it is owned by a seperate company is pathetic...if you dont control it, take it off your website. To add insult to injury they sent a bottle of average champagne to my room...of course, in Soho that is exactly where you want to drink...in a room on your own!!!!In synopsis, what a crap experience for your guests...worst of all there was no warning and when friends joined me for a drink i looked like a tit in that i could not drink in my own hotel.
Jan 12 2008 	What a find!	WOW! That is all I can say. What a fabulous find in a great Soho Neighborhood. The rooms were large, clean, and modern. The staff was awesome! I was there with my Husband and 4 year old son on a last minute Holiday treat before heading back To CA. We were going to stay close to JFK, (only a 30 minute cab ride the next morning) but why, this was a great idea, and we will definately be back.
